date,home_team,away_team,home_goals,away_goals
2024-02-26,Boavista FC,Sporting Clube de Braga,0,4
2024-03-01,GD Chaves,FC Arouca,1,5
2024-03-02,Moreirense FC,Rio Ave FC,0,0
2024-03-02,GD Estoril Praia,Vitória SC,1,3
2024-03-02,Sporting Clube de Braga,CF Estrela da Amadora,3,0
2024-03-03,Casa Pia AC,Gil Vicente FC,0,0
2024-03-03,Portimonense SC,FC Vizela,0,0
2024-03-03,Sporting Clube de Portugal,SC Farense,3,2
2024-03-03,FC Porto,Sport Lisboa e Benfica,5,0
2024-03-04,FC Famalicão,Boavista FC,1,1
2024-03-08,Portimonense SC,FC Porto,0,3
2024-03-08,CF Estrela da Amadora,Casa Pia AC,3,1
2024-03-09,FC Vizela,SC Farense,2,1
2024-03-09,Boavista FC,Moreirense FC,1,0
2024-03-09,Rio Ave FC,Sporting Clube de Braga,0,0
2024-03-09,Vitória SC,FC Famalicão,1,0
2024-03-10,FC Arouca,Sporting Clube de Portugal,0,3
2024-03-10,Sport Lisboa e Benfica,GD Estoril Praia,3,1
2024-03-11,Gil Vicente FC,GD Chaves,0,0
2024-03-15,GD Estoril Praia,Portimonense SC,1,0
2024-03-16,FC Famalicão,CF Estrela da Amadora,0,0
2024-03-16,SC Farense,Rio Ave FC,1,1
2024-03-16,Sporting Clube de Braga,Gil Vicente FC,2,1
2024-03-16,FC Porto,FC Vizela,4,1
2024-03-17,Moreirense FC,FC Arouca,1,0
2024-03-17,GD Chaves,Vitória SC,1,2
2024-03-17,Casa Pia AC,Sport Lisboa e Benfica,0,1
2024-03-17,Sporting Clube de Portugal,Boavista FC,6,1
2024-03-29,Gil Vicente FC,FC Famalicão,1,2
2024-03-29,Sport Lisboa e Benfica,GD Chaves,1,0
2024-03-29,CF Estrela da Amadora,Sporting Clube de Portugal,1,2
2024-03-30,FC Arouca,SC Farense,2,1
2024-03-30,Vitória SC,Moreirense FC,1,0
2024-03-30,Boavista FC,Rio Ave FC,0,0
2024-03-30,GD Estoril Praia,FC Porto,1,0
2024-03-31,FC Vizela,Casa Pia AC,0,4
2024-04-01,Portimonense SC,Sporting Clube de Braga,3,5
2024-04-05,SC Farense,Boavista FC,2,0
2024-04-06,FC Famalicão,FC Vizela,3,2
2024-04-06,Rio Ave FC,Gil Vicente FC,3,0
2024-04-06,Sporting Clube de Braga,FC Arouca,0,3
2024-04-06,Sporting Clube de Portugal,Sport Lisboa e Benfica,2,1
2024-04-07,GD Chaves,Portimonense SC,2,3
2024-04-07,Moreirense FC,CF Estrela da Amadora,2,2
2024-04-07,FC Porto,Vitória SC,1,2
2024-04-08,Casa Pia AC,GD Estoril Praia,0,0
2024-04-12,Gil Vicente FC,Sporting Clube de Portugal,0,4
2024-04-13,Vitória SC,SC Farense,1,1
2024-04-13,FC Porto,FC Famalicão,2,2
2024-04-13,GD Estoril Praia,Sporting Clube de Braga,0,1
2024-04-14,CF Estrela da Amadora,Rio Ave FC,2,2
2024-04-14,FC Arouca,Boavista FC,2,1
2024-04-14,Portimonense SC,Casa Pia AC,2,2
2024-04-14,Sport Lisboa e Benfica,Moreirense FC,3,0
2024-04-15,FC Vizela,GD Chaves,0,1
2024-04-16,FC Famalicão,Sporting Clube de Portugal,0,1
2024-04-19,Rio Ave FC,FC Arouca,1,1
2024-04-20,Moreirense FC,Gil Vicente FC,0,1
2024-04-20,Boavista FC,CF Estrela da Amadora,1,1
2024-04-20,Sporting Clube de Braga,FC Vizela,2,1
2024-04-21,FC Famalicão,Portimonense SC,2,2
2024-04-21,GD Chaves,GD Estoril Praia,2,2
2024-04-21,Casa Pia AC,FC Porto,1,2
2024-04-21,Sporting Clube de Portugal,Vitória SC,3,0
2024-04-22,SC Farense,Sport Lisboa e Benfica,1,3
2024-04-26,Gil Vicente FC,FC Arouca,2,2
2024-04-27,Casa Pia AC,GD Chaves,3,1
2024-04-27,FC Vizela,Rio Ave FC,1,1
2024-04-27,Sport Lisboa e Benfica,Sporting Clube de Braga,3,1
2024-04-27,Vitória SC,Boavista FC,1,0
2024-04-28,Portimonense SC,Moreirense FC,0,2
2024-04-28,GD Estoril Praia,FC Famalicão,1,0
2024-04-28,FC Porto,Sporting Clube de Portugal,2,2
2024-04-29,CF Estrela da Amadora,SC Farense,0,3
2024-05-03,Moreirense FC,FC Vizela,1,0
2024-05-04,Boavista FC,Gil Vicente FC,1,1
2024-05-04,Rio Ave FC,Vitória SC,2,1
2024-05-04,Sporting Clube de Portugal,Portimonense SC,3,0
2024-05-04,GD Chaves,FC Porto,0,3
2024-05-05,SC Farense,GD Estoril Praia,3,2
2024-05-05,FC Arouca,CF Estrela da Amadora,0,0
2024-05-05,Sporting Clube de Braga,Casa Pia AC,4,3
2024-05-05,FC Famalicão,Sport Lisboa e Benfica,2,0
2024-05-10,GD Chaves,FC Famalicão,0,1
2024-05-11,Portimonense SC,Rio Ave FC,2,2
2024-05-11,FC Vizela,CF Estrela da Amadora,4,0
2024-05-11,GD Estoril Praia,Sporting Clube de Portugal,0,1
2024-05-11,Vitória SC,Sporting Clube de Braga,2,3
2024-05-12,Gil Vicente FC,SC Farense,2,0
2024-05-12,Sport Lisboa e Benfica,FC Arouca,5,0
2024-05-12,Casa Pia AC,Moreirense FC,0,1
2024-05-12,FC Porto,Boavista FC,2,1
2024-05-17,FC Famalicão,Casa Pia AC,1,2
2024-05-17,Rio Ave FC,Sport Lisboa e Benfica,1,1
2024-05-18,Boavista FC,FC Vizela,2,2
2024-05-18,CF Estrela da Amadora,Gil Vicente FC,1,0
2024-05-18,FC Arouca,Vitória SC,1,3
2024-05-18,SC Farense,Portimonense SC,1,3
2024-05-18,Moreirense FC,GD Estoril Praia,2,1
2024-05-18,Sporting Clube de Portugal,GD Chaves,3,0
2024-05-18,Sporting Clube de Braga,FC Porto,0,1
2024-08-09,Sporting Clube de Portugal,Rio Ave FC,3,1
2024-08-10,AVS,CD Nacional,1,1
2024-08-10,Casa Pia AC,Boavista FC,0,1
2024-08-10,FC Porto,Gil Vicente FC,3,0
2024-08-11,GD Estoril Praia,CD Santa Clara,1,4
2024-08-11,SC Farense,Moreirense FC,1,2
2024-08-11,FC Famalicão,Sport Lisboa e Benfica,2,0
2024-08-11,Sporting Clube de Braga,CF Estrela da Amadora,1,1
2024-08-12,FC Arouca,Vitória SC,0,1
2024-08-16,CD Santa Clara,FC Porto,0,2
2024-08-16,Gil Vicente FC,AVS,4,2
2024-08-17,Rio Ave FC,SC Farense,1,0
2024-08-17,CD Nacional,Sporting Clube de Portugal,1,6
2024-08-17,Sport Lisboa e Benfica,Casa Pia AC,3,0
2024-08-18,Moreirense FC,FC Arouca,3,1
2024-08-18,Vitória SC,GD Estoril Praia,1,0
2024-08-18,Boavista FC,Sporting Clube de Braga,0,1
2024-08-19,CF Estrela da Amadora,FC Famalicão,0,3
2024-08-23,SC Farense,Sporting Clube de Portugal,0,5
2024-08-24,Casa Pia AC,CD Santa Clara,0,2
2024-08-24,FC Porto,Rio Ave FC,2,0
2024-08-24,Sport Lisboa e Benfica,CF Estrela da Amadora,1,0
2024-08-24,FC Famalicão,Boavista FC,1,0
2024-08-25,FC Arouca,CD Nacional,1,0
2024-08-25,GD Estoril Praia,Gil Vicente FC,0,0
2024-08-25,Sporting Clube de Braga,Moreirense FC,3,1
2024-08-25,AVS,Vitória SC,1,0
2024-08-30,Moreirense FC,Sport Lisboa e Benfica,1,1
2024-08-31,CD Santa Clara,AVS,2,1
2024-08-31,Boavista FC,GD Estoril Praia,0,0
2024-08-31,CF Estrela da Amadora,Casa Pia AC,0,1
